Category,Fst
2v2,0.3359067
1v2,0.7398175
2v2,0.4841905
1v2,0.5882091
2v2,0.4233679
1v2,0.7189993
1v2,0.5628457
2v2,0.3741803
1v2,0.8316166
1v2,0.6067105
1v2,0.7510384
1v2,0.8530642
1v2,0.4194057
1v1,0.2543233
1v1,0.3701646
1v2,0.3164002
1v1,0.1513033
1v2,0.2531224
1v1,0.3571345
1v2,0.4117679
1v1,0.2649245
1v2,0.3513487
1v1,0.2227688
1v1,0.1986699
1v2,0.2961998
1v1,0.3728055
1v1,0.2902508
1v1,0.3745395
1v1,0.4511193
1v2,0.6068816
1v2,0.6352029
2v2,0.2852095
1v2,0.5145467
2v2,0.2999245
1v2,0.6123445
2v2,0.5399116
1v2,0.4998118
2v2,0.4640184
1v2,0.5882414
1v2,0.4807001
2v2,0.412814
1v2,0.6595764
1v2,0.513975
1v2,0.6447555
1v2,0.7210501
1v1,0.5514862
1v2,0.5167244
1v1,0.2759337
1v2,0.4501999
1v1,0.5637299
1v2,0.6534981
1v1,0.4003006
1v2,0.5284167
1v1,0.413042
1v1,0.3155255
1v2,0.4250129
1v1,0.6742845
1v1,0.394896
1v1,0.5656774
1v1,0.6996818
1v2,0.56233
1v1,0.4070051
1v2,0.5115518
1v1,0.601765
1v2,0.655409
1v1,0.475386
1v2,0.5859051
1v1,0.5086154
1v1,0.4056535
1v2,0.4866607
1v1,0.6563448
1v1,0.4845108
1v1,0.588353
1v1,0.6645985
1v2,0.4167603
2v2,0.1535006
1v2,0.5382894
2v2,0.4189988
1v2,0.4202583
2v2,0.3534115
1v2,0.4936905
1v2,0.4023057
2v2,0.3271942
1v2,0.5642509
1v2,0.4593766
1v2,0.5817038
1v2,0.6435483
1v2,0.3558902
1v1,0.4394369
1v2,0.545042
1v1,0.3038671
1v2,0.4467487
1v1,0.2522415
1v1,0.2277047
1v2,0.3679072
1v1,0.4307969
1v1,0.300687
1v1,0.453487
1v1,0.4838332
1v2,0.4884637
2v2,0.2523577
1v2,0.3853796
2v2,0.2134757
1v2,0.4248677
1v2,0.3511826
2v2,0.2458111
1v2,0.510332
1v2,0.4110001
1v2,0.5314495
1v2,0.5924022
1v2,0.6449754
1v1,0.4484875
1v2,0.5646219
1v1,0.5175543
1v1,0.4128376
1v2,0.4536383
1v1,0.6578865
1v1,0.4985022
1v1,0.5817331
1v1,0.6966594
1v2,0.5389871
2v2,0.3278856
1v2,0.6113875
1v2,0.5034156
2v2,0.33587
1v2,0.7015014
1v2,0.5500535
1v2,0.6727546
1v2,0.750488
1v2,0.4592485
1v1,0.3717641
1v1,0.2905331
1v2,0.390381
1v1,0.4895076
1v1,0.3853296
1v1,0.4779881
1v1,0.5434063
1v2,0.4995949
1v2,0.4400879
2v2,0.3115569
1v2,0.584831
1v2,0.4893404
1v2,0.5991821
1v2,0.6592829
1v1,0.3040252
1v2,0.3962768
1v1,0.5985015
1v1,0.3756976
1v1,0.5209065
1v1,0.6207761
1v2,0.3685534
1v1,0.4431993
1v1,0.3139465
1v1,0.4394399
1v1,0.4817762
1v2,0.4640338
1v2,0.4109673
1v2,0.4847647
1v2,0.5350275
1v1,0.4938206
1v1,0.6661407
1v1,0.8058914
1v1,0.4944508
1v1,0.5444217
1v1,0.6976046
